,CrippenLogP,nHBAcc,nHBDon,naAromAtom,C1SP3,C1SP2,VE1_DzZ,maxdssC,hmin,hmax,ZMIC1,ZMIC2,ZMIC3,ZMIC4,ZMIC5,ATSC0c,ATSC1c,ATSC2c,ATSC3c,ATSC4c,ATSC5c,ATSC0m,ATSC1m,ATSC2m,ATSC3m,ATSC4m,ATSC5m,ETA_dAlpha_A,ETA_Shape_Y,ETA_BetaP_s,ETA_Beta_ns_d
DTXSID9020617,2.4260800000000016,0,1,6,0,1,0.2588890435656962,0.0,0.1959438775510203,0.627280683106576,24.671174904043625,18.346115627584144,19.5175442739884,19.5175442739884,17.79423594017429,0.4088551153534031,-0.1763269708785013,-0.1332757105325533,0.1855541104993011,-0.0785346281135166,-0.0425531688327946,843.3135793333336,-2.6506906666672805,40.82585938888835,-59.71173677777833,-190.55705849999964,-355.0420658055548,0.0,0.26471,0.5625,1.0
DTXSID8021808,1.84552,0,1,6,1,0,0.1070281069754506,0.0,0.2708333333333333,0.6595833333333334,22.10845859334435,17.60845859334435,16.85845859334435,18.10845859334435,18.75921015341045,0.2152026653865108,-0.1260867757467383,0.0096441145215956,0.0412461720169137,-0.0528266563148727,0.0116611474312546,543.0541349999999,-22.93399099999973,54.51410306250014,-183.87243518749983,-444.2125022500002,192.69325562499952,0.0,0.26087,0.53125,0.5
DTXSID9036690,3.179090000000002,4,0,0,6,2,1.1102230246251563e-15,0.0,0.0625033006966178,0.5875868055555555,37.85725858986086,36.51033750835244,36.51033750835243,36.51033750835243,39.19335381959311,0.5356947847122661,-0.3264686909896645,0.1019994541409312,0.0444199289249546,-0.0857738474222161,0.1320750083515199,1552.9679037272713,11.276365221073664,124.55727240495833,-377.895751316117,213.12219676033013,-267.88627916322383,0.0,0.24,0.55556,0.0
DTXSID8026773,-0.2503999999999999,2,2,0,2,0,0.061065880355623,0.0,0.3511111111111111,0.736388888888889,16.75,13.85845859334435,13.608458593344348,12.108458593344348,8.358458593344348,0.4191520547464688,-0.2021845982656887,-0.0122905697321753,-0.0732082481904244,0.177254688963209,-0.1592931232767785,591.5296957500002,-77.56967664062466,-140.62549459374975,-230.48689760937495,144.08476529687474,-76.71616989062522,0.0,0.1875,0.5,0.0
DTXSID6047280,4.521290000000001,1,1,12,1,0,0.0788377252352756,0.0,-0.1216735253772292,0.6441141420274099,44.00954892377688,34.468983918535784,31.018287690303097,26.634641552309663,27.58760810404737,0.4535409378674356,-0.1600388784923696,-0.0712386432850848,-0.0535676210041766,-0.0446535410465638,0.1911223375746868,2452.1838116224103,2.0426166555154524,229.2868522389165,400.6392078476387,-226.07734265652695,-133.1395078787624,0.0,0.31754,0.61842,2.0
DTXSID4020820,0.1851899999999999,2,0,0,1,1,0.1438819289895364,1.2870370370370372,0.1278292181069958,0.506712962962963,18.306690390700258,17.95117217900799,17.951172179007994,17.95117217900799,17.951172179007994,0.1623440126915296,-0.0860493148060525,0.0006813793179598327,0.0145663102854305,-0.0199199954884672,0.0095496143453646,1000.7827540000002,19.335252000000068,268.72320500000006,-24.320051999999983,-945.43501,181.30522799999991,0.01905,0.24771,0.67857,0.0
DTXSID4022442,3.951690000000004,0,2,12,2,0,3.05311331771918e-16,0.0,0.161625566893424,0.5731020880574453,45.09423891420949,36.98864029324257,35.15622570826661,35.15622570826661,36.21286737541404,0.4331051223578128,-0.2482901292933397,0.0455225361315192,0.0038895198658771,-0.06309641700032,0.000999125652328018,1207.3951698888882,-17.769277774692277,220.1125573024682,-261.0793805154326,-855.4813014629649,58.93351224382778,0.0,0.23077,0.55556,1.0
DTXSID1021952,5.553170000000002,1,0,18,0,0,6.661338147750939e-16,0.0,-0.1235134794658605,1.715252057613169,70.90444921059103,64.9757603817311,57.75320696119579,56.71413385857489,56.71413385857489,0.5455930151612057,-0.5730247232700179,0.5539828187587145,-0.2662980965322948,0.0443982102915478,-0.0002483112770705442,1793.5646630913634,561.7313779813343,144.47890468770547,519.8689952472637,-26.87567143508732,-1025.4286221200314,0.0,0.13235,0.61957,1.5
DTXSID5020281,2.6690900000000006,0,0,6,0,0,0.0741774381630193,0.0,0.2169510582010582,0.701119684499314,28.6004433726748,25.832369354191577,26.92018504620804,25.37102368444437,25.37102368444437,0.1023793431803962,-0.0197792017147751,-0.0059875502599704,0.0245276177686983,-0.0453466604943866,-0.0475468257458368,1061.4158323571432,18.942895428571404,11.890529678571422,-347.444251994898,-533.0116384387754,89.28210577040821,0.0,0.29283,0.6,0.5
DTXSID9022360,4.476590000000004,0,1,6,5,0,0.182238265335338,0.0,0.0702409297052154,0.5804190287226001,35.67598676666562,28.736149212351638,27.355911873329195,27.35591187332919,27.355911873329195,0.2407079986074548,-0.1316110556632808,0.046012562335241,-0.0534217839715747,0.0131226675061726,-0.0372359544828816,1147.4337991891898,-18.219016324325622,514.4449671438997,-1243.8231358217704,855.2343035208202,-1117.7985040350632,0.0,0.13636,0.51667,0.5
